id,product_id,tier_code,score_min,score_max,term_min_months,term_max_months,amount_min,amount_max,annual_interest_rate,yn,created_at,updated_at
1,1,P1_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
2,1,P1_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
3,1,P1_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
4,2,P2_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
5,2,P2_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
6,2,P2_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
7,3,P3_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
8,3,P3_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
9,3,P3_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
10,4,P4_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
11,4,P4_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
12,4,P4_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
13,5,P5_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
14,5,P5_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
15,5,P5_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
16,6,P6_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
17,6,P6_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
18,6,P6_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
19,7,P7_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
20,7,P7_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
21,7,P7_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
22,8,P8_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
23,8,P8_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
24,8,P8_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
25,9,P9_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
26,9,P9_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
27,9,P9_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
28,10,P10_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
29,10,P10_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
30,10,P10_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
31,11,P11_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
32,11,P11_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
33,11,P11_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
34,12,P12_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
35,12,P12_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
36,12,P12_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
37,13,P13_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
38,13,P13_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
39,13,P13_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
40,14,P14_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
41,14,P14_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
42,14,P14_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
43,15,P15_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
44,15,P15_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
45,15,P15_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
46,16,P16_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
47,16,P16_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
48,16,P16_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
49,17,P17_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
50,17,P17_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
51,17,P17_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
52,18,P18_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
53,18,P18_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
54,18,P18_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
55,19,P19_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
56,19,P19_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
57,19,P19_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
58,20,P20_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
59,20,P20_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
60,20,P20_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
61,21,P21_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
62,21,P21_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
63,21,P21_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
64,22,P22_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
65,22,P22_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
66,22,P22_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
67,23,P23_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
68,23,P23_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
69,23,P23_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
70,24,P24_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
71,24,P24_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
72,24,P24_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
73,25,P25_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
74,25,P25_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
75,25,P25_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
76,26,P26_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
77,26,P26_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
78,26,P26_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
79,27,P27_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
80,27,P27_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
81,27,P27_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
82,28,P28_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
83,28,P28_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
84,28,P28_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
85,29,P29_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
86,29,P29_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
87,29,P29_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
88,30,P30_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
89,30,P30_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
90,30,P30_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
91,31,P31_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
92,31,P31_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
93,31,P31_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
94,32,P32_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
95,32,P32_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
96,32,P32_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
97,33,P33_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
98,33,P33_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
99,33,P33_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
100,34,P34_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
101,34,P34_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
102,34,P34_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
103,35,P35_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
104,35,P35_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
105,35,P35_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
106,36,P36_A,760,1000,1,24,0,300000,0.052,1,2019-01-01 00:00:00,2026-01-01 00:00:00
107,36,P36_B,680,759,1,36,0,1000000,0.078,1,2019-01-01 00:00:00,2026-01-01 00:00:00
108,36,P36_C,620,679,1,60,0,5000000,0.108,1,2019-01-01 00:00:00,2026-01-01 00:00:00
