id,product_code,product_name,category_id,currency_code,risk_level_id,product_type,operation_mode,min_purchase_amount,increment_amount,expected_yield_rate,nav_based_flag,sale_start_at,sale_end_at,value_date_rule,redeem_rule,product_status,created_at,updated_at
60,WM_STRUCT_10,中州指数挂钩结构性存款10号,35,CNY,8,structured_deposit,closed,50000,10000,0.041,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
61,WM_CASH_11,中州现金管理11号,31,CNY,6,cash_management,open,1,1,0.0213,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
62,WM_FIXED90_11,中州90天固定收益11号,32,CNY,7,fixed_income,closed,10000,1000,0.0353,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
63,WM_FIXED180_11,中州180天固定收益11号,32,CNY,7,fixed_income,closed,10000,1000,0.0393,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
64,WM_MIXED_11,中州平衡配置混合策略11号,33,CNY,8,mixed,periodic_open,50000,1000,0.0483,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
65,WM_EQUITY_11,中州权益成长优选11号,34,CNY,9,equity,periodic_open,100000,10000,0.0683,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
66,WM_STRUCT_11,中州指数挂钩结构性存款11号,35,CNY,8,structured_deposit,closed,50000,10000,0.0413,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
67,WM_CASH_12,中州现金管理12号,31,CNY,6,cash_management,open,1,1,0.0216,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
68,WM_FIXED90_12,中州90天固定收益12号,32,CNY,7,fixed_income,closed,10000,1000,0.0356,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
69,WM_FIXED180_12,中州180天固定收益12号,32,CNY,7,fixed_income,closed,10000,1000,0.0396,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
70,WM_MIXED_12,中州平衡配置混合策略12号,33,CNY,8,mixed,periodic_open,50000,1000,0.0486,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
71,WM_EQUITY_12,中州权益成长优选12号,34,CNY,9,equity,periodic_open,100000,10000,0.0686,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
72,WM_STRUCT_12,中州指数挂钩结构性存款12号,35,CNY,8,structured_deposit,closed,50000,10000,0.0416,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
73,WM_CASH_13,中州现金管理13号,31,CNY,6,cash_management,open,1,1,0.0219,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
74,WM_FIXED90_13,中州90天固定收益13号,32,CNY,7,fixed_income,closed,10000,1000,0.0359,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
75,WM_FIXED180_13,中州180天固定收益13号,32,CNY,7,fixed_income,closed,10000,1000,0.0399,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
76,WM_MIXED_13,中州平衡配置混合策略13号,33,CNY,8,mixed,periodic_open,50000,1000,0.0489,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
77,WM_EQUITY_13,中州权益成长优选13号,34,CNY,9,equity,periodic_open,100000,10000,0.0689,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
78,WM_STRUCT_13,中州指数挂钩结构性存款13号,35,CNY,8,structured_deposit,closed,50000,10000,0.0419,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
79,WM_CASH_14,中州现金管理14号,31,CNY,6,cash_management,open,1,1,0.0222,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
80,WM_FIXED90_14,中州90天固定收益14号,32,CNY,7,fixed_income,closed,10000,1000,0.0362,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
81,WM_FIXED180_14,中州180天固定收益14号,32,CNY,7,fixed_income,closed,10000,1000,0.0402,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
82,WM_MIXED_14,中州平衡配置混合策略14号,33,CNY,8,mixed,periodic_open,50000,1000,0.0492,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
83,WM_EQUITY_14,中州权益成长优选14号,34,CNY,9,equity,periodic_open,100000,10000,0.0692,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
84,WM_STRUCT_14,中州指数挂钩结构性存款14号,35,CNY,8,structured_deposit,closed,50000,10000,0.0422,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
85,WM_CASH_15,中州现金管理15号,31,CNY,6,cash_management,open,1,1,0.0225,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
86,WM_FIXED90_15,中州90天固定收益15号,32,CNY,7,fixed_income,closed,10000,1000,0.0365,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
87,WM_FIXED180_15,中州180天固定收益15号,32,CNY,7,fixed_income,closed,10000,1000,0.0405,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
88,WM_MIXED_15,中州平衡配置混合策略15号,33,CNY,8,mixed,periodic_open,50000,1000,0.0495,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
89,WM_EQUITY_15,中州权益成长优选15号,34,CNY,9,equity,periodic_open,100000,10000,0.0695,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
90,WM_STRUCT_15,中州指数挂钩结构性存款15号,35,CNY,8,structured_deposit,closed,50000,10000,0.0425,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
91,WM_CASH_16,中州现金管理16号,31,CNY,6,cash_management,open,1,1,0.0228,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
92,WM_FIXED90_16,中州90天固定收益16号,32,CNY,7,fixed_income,closed,10000,1000,0.0368,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
93,WM_FIXED180_16,中州180天固定收益16号,32,CNY,7,fixed_income,closed,10000,1000,0.0408,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
94,WM_MIXED_16,中州平衡配置混合策略16号,33,CNY,8,mixed,periodic_open,50000,1000,0.0498,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
95,WM_EQUITY_16,中州权益成长优选16号,34,CNY,9,equity,periodic_open,100000,10000,0.0698,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
96,WM_STRUCT_16,中州指数挂钩结构性存款16号,35,CNY,8,structured_deposit,closed,50000,10000,0.0428,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
97,WM_CASH_17,中州现金管理17号,31,CNY,6,cash_management,open,1,1,0.0231,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
98,WM_FIXED90_17,中州90天固定收益17号,32,CNY,7,fixed_income,closed,10000,1000,0.0371,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
99,WM_FIXED180_17,中州180天固定收益17号,32,CNY,7,fixed_income,closed,10000,1000,0.0411,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
100,WM_MIXED_17,中州平衡配置混合策略17号,33,CNY,8,mixed,periodic_open,50000,1000,0.0501,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
101,WM_EQUITY_17,中州权益成长优选17号,34,CNY,9,equity,periodic_open,100000,10000,0.0701,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
102,WM_STRUCT_17,中州指数挂钩结构性存款17号,35,CNY,8,structured_deposit,closed,50000,10000,0.0431,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
103,WM_CASH_18,中州现金管理18号,31,CNY,6,cash_management,open,1,1,0.0234,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
104,WM_FIXED90_18,中州90天固定收益18号,32,CNY,7,fixed_income,closed,10000,1000,0.0374,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
105,WM_FIXED180_18,中州180天固定收益18号,32,CNY,7,fixed_income,closed,10000,1000,0.0414,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
106,WM_MIXED_18,中州平衡配置混合策略18号,33,CNY,8,mixed,periodic_open,50000,1000,0.0504,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
107,WM_EQUITY_18,中州权益成长优选18号,34,CNY,9,equity,periodic_open,100000,10000,0.0704,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
108,WM_STRUCT_18,中州指数挂钩结构性存款18号,35,CNY,8,structured_deposit,closed,50000,10000,0.0434,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
109,WM_CASH_19,中州现金管理19号,31,CNY,6,cash_management,open,1,1,0.0237,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
110,WM_FIXED90_19,中州90天固定收益19号,32,CNY,7,fixed_income,closed,10000,1000,0.0377,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
111,WM_FIXED180_19,中州180天固定收益19号,32,CNY,7,fixed_income,closed,10000,1000,0.0417,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
112,WM_MIXED_19,中州平衡配置混合策略19号,33,CNY,8,mixed,periodic_open,50000,1000,0.0507,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
113,WM_EQUITY_19,中州权益成长优选19号,34,CNY,9,equity,periodic_open,100000,10000,0.0707,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
114,WM_STRUCT_19,中州指数挂钩结构性存款19号,35,CNY,8,structured_deposit,closed,50000,10000,0.0437,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
115,WM_CASH_20,中州现金管理20号,31,CNY,6,cash_management,open,1,1,0.024,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
116,WM_FIXED90_20,中州90天固定收益20号,32,CNY,7,fixed_income,closed,10000,1000,0.038,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
117,WM_FIXED180_20,中州180天固定收益20号,32,CNY,7,fixed_income,closed,10000,1000,0.042,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
118,WM_MIXED_20,中州平衡配置混合策略20号,33,CNY,8,mixed,periodic_open,50000,1000,0.051,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
119,WM_EQUITY_20,中州权益成长优选20号,34,CNY,9,equity,periodic_open,100000,10000,0.071,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
120,WM_STRUCT_20,中州指数挂钩结构性存款20号,35,CNY,8,structured_deposit,closed,50000,10000,0.044,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
